
Nr.;Datum;Titel der Vorlage;Ergebnis;Beteiligung;Volk: Ja%;Stände: Ja
365;23.09.1990;Volksinitiative «für den Ausstieg aus der Atomenergie»;Abgelehnt;40.4%;47.1%;6 2/2
364;01.04.1990;Bundesgesetz über die Organisation der Bundesrechtspflege;Abgelehnt;40.7%;47.4%;.
363;01.04.1990;Bundesbeschluss über den Rebbau;Abgelehnt;40.8%;46.7%;.
362;01.04.1990;Volksinitiative «für eine freie Aarelandschaft zwischen Biel und Solothurn/Zuchwil»;Abgelehnt;41.1%;34.0%;0 0/2
361;01.04.1990;Volksinitiative «für ein autobahnfreies Knonauer Amt»;Abgelehnt;41.1%;31.4%;0 0/2
360;01.04.1990;Volksinitiative «für eine autobahnfreie Landschaft zwischen Murten und Yverdon»;Abgelehnt;41.1%;32.7%;0 0/2
359;01.04.1990;Volksinitiative «Stopp dem Beton - für eine Begrenzung des Strassenbaus!»;Abgelehnt;41.1%;28.5%;0 0/2
358;26.11.1989;Volksinitiative «pro Tempo 130/100»;Abgelehnt;69.2%;38.0%;6 0/2
357;26.11.1989;Volksinitiative «für eine Schweiz ohne Armee und für eine umfassende Friedenspolitik»;Abgelehnt;69.2%;35.6%;2 0/2
356;04.06.1989;Volksinitiative «für ein naturnahes Bauern - gegen Tierfabriken (Kleinbauern-Initiative)»;Abgelehnt;36.0%;48.9%;7 2/2
355;04.12.1988;Volksinitiative «für die Begrenzung der Einwanderung»;Abgelehnt;52.8%;32.7%;0 0/2
354;04.12.1988;Volksinitiative «zur Herabsetzung der Arbeitszeit»;Abgelehnt;52.9%;34.3%;2 0/2
353;04.12.1988;Volksinitiative «Stadt-Land-Initiative gegen die Bodenspekulation»;Abgelehnt;52.8%;30.8%;0 0/2
352;12.06.1988;Volksinitiative «zur Herabsetzung des AHV-Rentenalters auf 62 Jahre für Männer und 60 Jahre für Frauen»;Abgelehnt;42.0%;35.1%;2 0/2
351;12.06.1988;Bundesbeschluss über die Verfassungsgrundlagen für eine koordinierte Verkehrspolitik;Abgelehnt;41.9%;45.5%;3 2/2
350;06.12.1987;Volksinitiative «zum Schutz der Moore - Rothenthurm-Initiative»;Angenommen;47.7%;57.8%;17 6/2
349;06.12.1987;Bundesgesetz über die Krankenversicherung;Abgelehnt;47.7%;28.7%;.
348;06.12.1987;Bundesbeschluss betreffend das Konzept BAHN 2000;Angenommen;47.7%;57.0%;.
347;05.04.1987;Bundesbeschluss über das Abstimmungsverfahren bei Volksinitiativen mit Gegenentwurf;Angenommen;42.3%;63.3%;18 6/2
346;05.04.1987;Volksinitiative «für die Mitsprache des Volkes bei Militärausgaben (Rüstungsreferendum)»;Abgelehnt;42.4%;40.6%;2 1/2
345;05.04.1987;Bundesgesetz über Aufenthalt und Niederlassung der Ausländer;Angenommen;42.2%;65.7%;.
344;05.04.1987;Asylgesetz;Angenommen;42.4%;67.3%;.
343;07.12.1986;Volksinitiative «für eine gerechte Besteuerung des Schwerverkehrs (Schwerverkehrsabgabe)»;Abgelehnt;34.7%;33.9%;0 0/2
342;07.12.1986;Bundesbeschluss über die Volksinitiative «für Mieterschutz»;Angenommen;34.7%;64.4%;17 3/2
341;28.09.1986;Bundesbeschluss über die inländische Zuckerwirtschaft;Abgelehnt;34.9%;38.2%;.
340;28.09.1986;Volksinitiative «für eine gesicherte Berufsbildung und Umschulung»;Abgelehnt;34.8%;18.4%;0 0/2
339.2;28.09.1986;Gegenentwurf zur Volksinitiative Eidgenössische «Kulturinitiative»;Abgelehnt;34.7%;39.3%;6 3/2
339.1;28.09.1986;Volksinitiative Eidgenössische «Kulturinitiative»;Abgelehnt;34.7%;16.7%;0 0/2
338;16.03.1986;Bundesbeschluss über den Beitritt der Schweiz zur Organisation der Vereinten Nationen;Abgelehnt;50.7%;24.3%;0 0/2
337;01.12.1985;Volksinitiative «für die Abschaffung der Vivisektion»;Abgelehnt;38.0%;29.5%;0 0/2
336;22.09.1985;Schweizerisches Zivilgesetzbuch (Wirkungen der Ehe im allgemeinen, Ehegüterrecht und Erbrecht);Angenommen;41.1%;54.7%;.
335;22.09.1985;Bundesbeschluss über die Innovationsrisikogarantie zugunsten von kleinen und mittleren Unternehmen;Abgelehnt;40.9%;43.1%;.
334;22.09.1985;Bundesbeschluss über die Volksinitiative «für die Koordination des Schuljahrbeginns»;Angenommen;41.0%;58.8%;14 4/2
333;09.06.1985;Bundesbeschluss über die Aufhebung der Unterstützung für die Selbstversorgung mit Brotgetreide;Angenommen;35.3%;57.0%;16 5/2
332;09.06.1985;Bundesbeschluss über die Neuverteilung des Reinertrages aus der fiskalischen Belastung gebrannter Wasser;Angenommen;35.2%;72.3%;19 6/2
331;09.06.1985;Bundesbeschluss über die Aufhebung des Kantonsanteiles am Reinertrag der Stempelabgaben;Angenommen;35.2%;66.5%;19 6/2
330;09.06.1985;Volksinitiative «Recht auf Leben»;Abgelehnt;35.7%;31.0%;4 3/2
329;10.05.1985;Volksinitiative «für eine Verlängerung der bezahlten Ferien»;Abgelehnt;34.6%;34.8%;2 0/2
328;10.03.1985;Bundesbeschluss über die Ausbildungsbeiträge;Abgelehnt;34.4%;47.6%;7 3/2
327;10.03.1985;Bundesbeschluss über die Aufhebung der Beitragspflicht des Bundes im Gesundheitswesen;Angenommen;34.4%;53.0%;10 6/2
326;10.03.1985;Bundesbeschluss über die Aufhebung der Beiträge für den Primarschulunterricht;Angenommen;34.4%;58.5%;15 6/2
325;02.12.1984;Bundesbeschluss über die Volksinitiative «zur Entschädigung der Opfer von Gewaltverbrechen»;Angenommen;37.6%;82.1%;20 6/2
324;02.12.1984;Bundesbeschluss über einen Radio- und Fernsehartikel;Angenommen;37.5%;68.7%;20 6/2
323;02.12.1984;Volksinitiative «für einen wirksamen Schutz der Mutterschaft»;Abgelehnt;37.6%;15.8%;0 0/2
322;23.09.1984;Volksinitiative «für eine sichere, sparsame und umweltgerechte Energieversorgung»;Abgelehnt;41.6%;45.8%;5 2/2
321;23.09.1984;Volksinitiative «für eine Zukunft ohne weitere Atomkraftwerke»;Abgelehnt;41.6%;45.0%;5 2/2
320;20.05.1984;Volksinitiative «gegen den Ausverkauf der Heimat»;Abgelehnt;42.5%;48.9%;7 3/2
319;20.05.1984;Volksinitiative «gegen den Missbrauch des Bankgeheimnisses und der Bankenmacht»;Abgelehnt;42.5%;27.0%;0 0/2
318;26.02.1984;Volksinitiative «für einen echten Zivildienst auf der Grundlage des Tatbeweises»;Abgelehnt;52.8%;36.2%;1 1/2
317;26.02.1984;Bundesbeschluss über eine Abgabe für die Benützung der Nationalstrassen;Angenommen;52.8%;53.0%;13 6/2
316;26.02.1984;Bundesbeschluss über die Erhebung einer Schwerverkehrsabgabe;Angenommen;52.8%;58.7%;13 5/2
315;04.12.1983;Bundesbeschluss über die Erleichterung gewisser Einbürgerungen;Abgelehnt;35.9%;44.8%;4 2/2
314;04.12.1983;Bundesbeschluss über Änderungen der Bürgerrechtsregelung in der Bundesverfassung;Angenommen;35.8%;60.8%;18 5/2
313;27.02.1983;Bundesbeschluss über den Energieartikel in der Bundesverfassung;Abgelehnt;32.4%;50.9%;11 0/2
312;27.02.1983;Bundesbeschluss über die Neuregelung bei den Treibstoffzöllen;Angenommen;32.4%;52.7%;14 3/2
311.2;28.11.1982;Gegenentwurf zur Volksinitiative «zur Verhinderung missbräuchlicher Preise»;Abgelehnt;32.9%;21.6%;0 0/2
311.1;28.11.1982;Volksinitiative «zur Verhinderung missbräuchlicher Preise»;Angenommen;32.9%;56.1%;17 2/2
310;06.06.1982;Ausländergesetz;Abgelehnt;35.2%;49.6%;.
309;06.06.1982;Schweizerisches Strafgesetzbuch (Gewaltverbrechen);Angenommen;35.2%;63.7%;.
308;29.11.1981;Bundesbeschluss über die Weiterführung der Finanzordnung und die Verbesserung des Bundeshaushaltes;Angenommen;30.4%;69.0%;20 6/2
307;14.06.1981;Bundesbeschluss über die Volksinitiative «zur Absicherung der Rechte der Konsumenten»;Angenommen;33.9%;65.5%;18 4/2
306;14.06.1981;Bundesbeschluss über die Volksinitiative «Gleiche Rechte für Mann und Frau»;Angenommen;33.9%;60.3%;14 3/2
305;05.04.1981;Volksinitiative «Mitenand-Initiative für eine neue Ausländerpolitik»;Abgelehnt;39.9%;16.2%;0 0/2
304;30.11.1980;Bundesbeschluss über die Revision der Brotgetreideordnung des Landes;Angenommen;41.9%;63.5%;16 6/2
303;30.11.1980;Bundesbeschluss über die Neuverteilung der Reineinnahmen der Eidgenössischen Alkoholverwaltung aus der fiskalischen Belastung der gebrannten Wasser;Angenommen;41.9%;71.0%;18 6/2
302;30.11.1980;Bundesbeschluss über die Aufhebung des Kantonsanteiles am Reinertrag der Stempelabgaben;Angenommen;41.9%;67.3%;17 6/2
301;30.11.1980;Bundesgesetz über den Strassenverkehr (Gurten- und Schutzhelmobligatorium);Angenommen;42.1%;51.6%;.
300;02.03.1980;Bundesbeschluss über die Neuordnung der Landesversorgung;Angenommen;34.5%;86.1%;20 6/2
299;02.03.1980;Volksinitiative «betreffend die vollständige Trennung von Kirche und Staat»;Abgelehnt;34.7%;21.1%;0 0/2
298;20.05.1979;Bundesbeschluss zum Atomgesetz;Angenommen;37.6%;68.9%;.
297;20.05.1979;Bundesbeschluss über die Neuordnung der Umsatzsteuer und der direkten Bundessteuer;Abgelehnt;37.7%;34.6%;0 0/2
296;18.02.1979;Volksinitiative «zur Wahrung der Volksrechte und der Sicherheit beim Bau und Betrieb von Atomanlagen»;Abgelehnt;49.6%;48.8%;8 2/2
295;18.02.1979;Volksinitiative «gegen Suchtmittelreklame»;Abgelehnt;49.6%;41.0%;0 1/2
294;18.02.1979;Bundesbeschluss über die Volksinitiative «zur Förderung der Fuss- und Wanderwege»;Angenommen;49.6%;77.6%;19 6/2
293;18.02.1979;Bundesbeschluss über das Stimm- und Wahlrecht für 18jährige;Abgelehnt;49.6%;49.2%;8 2/2
292;03.12.1978;Bundesgesetz über die Berufsbildung (BBG);Angenommen;43.2%;56.0%;.
291;03.12.1978;Bundesgesetz über die Erfüllung sicherheitspolizeilicher Aufgaben des Bundes;Abgelehnt;43.3%;44.0%;.
290;03.12.1978;Tierschutzgesetz (TschG);Angenommen;43.3%;81.7%;.
289;03.12.1978;Milchwirtschaftsbeschluss 1977 (MWB 1977);Angenommen;43.2%;68.5%;.
288;24.09.1978;Bundesbeschluss über die Gründung des Kantons Jura (Art. 1 und 80 BV);Angenommen;42.0%;82.3%;19 6/2
287;28.05.1978;Volksinitiative «für 12 motorfahrzeugfreie Sonntage pro Jahr»;Abgelehnt;49.1%;36.3%;0 0/2
286;28.05.1978;Bundesgesetz über die Förderung der Hochschulen und die Forschung (HFG);Abgelehnt;48.9%;43.3%;.
285;28.05.1978;Bundesgesetz über den Schutz der Schwangerschaft und die Strafbarkeit des Schwangerschaftsabbruchs;Abgelehnt;48.9%;31.2%;.
284;28.05.1978;Zolltarifgesetz, Änderung vom 7. Oktober 1977;Angenommen;48.7%;54.8%;.
283;28.05.1978;Zeitgesetz;Abgelehnt;49.0%;47.9%;.
282;26.02.1978;Bundesbeschluss über den Konjunkturartikel der Bundesverfassung;Angenommen;48.0%;68.4%;19 6/2
281;26.02.1978;Volksinitiative «zur Herabsetzung des AHV-Alters»;Abgelehnt;48.3%;20.6%;0 0/2
280;26.02.1978;Bundesgesetz über die Alters- und Hinterlassenenversicherung (9. AHV-Revision);Angenommen;48.3%;65.6%;.
279;26.02.1978;Volksinitiative «für die vermehrte Mitbestimmung der Bundesversammlung und des Schweizervolkes im Nationalstrassenbau»;Abgelehnt;48.2%;38.7%;0 0/2
278;04.12.1977;Bundesgesetz über Massnahmen zum Ausgleich des Bundeshaushaltes;Angenommen;38.2%;62.4%;.
277;04.12.1977;Bundesbeschluss über die Einführung eines zivilen Ersatzdienstes;Abgelehnt;38.3%;37.6%;0 0/2
276;04.12.1977;Bundesgesetz über die politischen Rechte;Angenommen;38.1%;59.4%;.
275;04.12.1977;Volksinitiative «für eine Reichtumssteuer»;Abgelehnt;38.3%;44.4%;2 1/2
274;25.09.1977;Volksinitiative «für die Fristenlösung»;Abgelehnt;51.9%;48.3%;6 2/2
273;25.09.1977;Bundesbeschluss über die Erhöhung der Unterschriftenzahl für die Verfassungsinitiative (Art. 120 und 121 BV);Angenommen;51.6%;56.7%;16 6/2
272;25.09.1977;Bundesbeschluss über die Erhöhung der Unterschriftenzahl für das Referendum (Art. 89 und 89bis BV);Angenommen;51.6%;57.8%;15 6/2
271;25.09.1977;Volksinitiative «gegen die Luftverschmutzung durch Motorfahrzeuge»;Abgelehnt;51.7%;39.0%;1 1/2
270.2;25.09.1977;Gegenentwurf zur Volksinitiative «für einen wirksamen Mieterschutz»;Abgelehnt;51.6%;41.2%;5 4/2
270.1;25.09.1977;Volksinitiative «für einen wirksamen Mieterschutz»;Abgelehnt;51.6%;42.2%;3 1/2
269;12.06.1977;Bundesbeschluss über die Steuerharmonisierung;Angenommen;49.9%;61.3%;16 3/2
268;12.06.1977;Bundesbeschluss über die Neuordnung der Umsatzsteuer und der direkten Bundessteuer;Abgelehnt;50.0%;40.5%;1 0/2
267.2;13.03.1977;Gegenentwurf zur Volksinitiative «über die Neuordnung des Staatsvertragsreferendums»;Angenommen;45.0%;61.0%;18 5/2
267.1;13.03.1977;Volksinitiative «über die Neuordnung des Staatsvertragsreferendums»;Abgelehnt;45.0%;21.9%;0 0/2
266;13.03.1977;Volksinitiative «für eine Beschränkung der Einbürgerungen»;Abgelehnt;45.2%;33.8%;0 0/2
265;13.03.1977;Volksinitiative «IV. Ueberfremdungsinitiative»;Abgelehnt;45.2%;29.5%;0 0/2
264;05.12.1976;Volksinitiative «für die Einführung der 40-Stunden-Woche»;Abgelehnt;45.2%;22.0%;0 0/2
263;05.12.1976;Bundesbeschluss über die Preisüberwachung;Angenommen;45.1%;82.0%;19 6/2
262;05.12.1976;Bundesbeschluss über die Geld- und Kreditpolitik;Angenommen;44.8%;70.3%;19 6/2
261;26.09.1976;Volksinitiative «für eine Haftpflichtversicherung durch den Bund für Motorfahrzeuge und Fahrräder»;Abgelehnt;33.5%;24.3%;0 0/2
260;26.09.1976;Bundesbeschluss betreffend einen Verfassungsartikel über Radio und Fernsehen;Abgelehnt;33.5%;43.3%;3 1/2
259;13.06.1976;Bundesbeschluss über eine Neukonzeption der Arbeitslosenversicherung;Angenommen;34.5%;68.3%;18 6/2
258;13.06.1976;Bundesbeschluss betreffend ein Abkommen zwischen der Schweiz und der Internationalen Entwicklungsorganisation (IDA) über ein Darlehen von 200 Millionen Franken;Abgelehnt;34.5%;43.6%;.
257;13.06.1976;Bundesgesetz über die Raumplanung;Abgelehnt;34.6%;48.9%;.
256;21.03.1976;Volksinitiative «für eine Reform des Steuerwesens» (Gerechtere Besteuerung und Abschaffung der Steuerprivilegien);Abgelehnt;39.3%;42.2%;.
255.2;21.03.1976;Gegenentwurf zur Volksinitiative «für die Mitbestimmung der Arbeitnehmer»;Abgelehnt;39.4%;29.6%;0 0/2
255.1;21.03.1976;Volksinitiative «für die Mitbestimmung der Arbeitnehmer»;Abgelehnt;39.4%;32.4%;0 0/2
254;07.12.1975;Bundesgesetz über die Ein- und Ausfuhr von Erzeugnissen aus Landwirtschaftsprodukten;Angenommen;31.1%;52.0%;.
253;07.12.1975;Bundesbeschluss betreffend Änderung der Bundesverfassung im Gebiete der Wasserwirtschaft;Angenommen;30.9%;77.5%;18 6/2
252;07.12.1975;Bundesbeschluss über eine Änderung der Bundesverfassung (Niederlassungsfreiheit und Unterstützungsregelung);Angenommen;30.9%;75.6%;19 6/2
251;08.06.1975;Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen;Angenommen;36.8%;75.9%;19 6/2
250;08.06.1975;Bundesbeschluss betreffend Erhöhung der Steuereinnahmen ab 1976;Angenommen;36.8%;56.0%;14 6/2
249;08.06.1975;Bundesgesetz über die Änderung des Generalzolltarifs;Abgelehnt;36.8%;48.2%;.
248;08.06.1975;Bundesbeschluss über die Finanzierung der Nationalstrassen;Angenommen;36.8%;53.5%;.
247;08.06.1975;Bundesbeschluss über den Schutz der Währung, Änderung vom 28. Juni 1974 (Verlängerung);Angenommen;36.8%;85.5%;19 6/2
246;02.03.1975;Bundesbeschluss über den Konjunkturartikel der Bundesverfassung;Abgelehnt;28.4%;52.8%;10 2/2
245.2;08.12.1974;Gegenentwurf zur Volksinitiative «Soziale Krankenversicherung»;Abgelehnt;39.7%;31.8%;1 0/2
245.1;08.12.1974;Volksinitiative «Soziale Krankenversicherung»;Abgelehnt;39.7%;26.7%;0 0/2
244;08.12.1974;Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen;Angenommen;39.5%;67.0%;19 6/2
243;08.12.1974;Bundesbeschluss zur Verbesserung des Bundeshaushalts;Abgelehnt;39.6%;44.4%;5 0/2
242;20.10.1974;Volksinitiative «gegen die Ueberfremdung und Ueberbevölkerung der Schweiz»;Abgelehnt;70.3%;34.2%;0 0/2
241;02.12.1973;Bundesbeschluss über einen Tierschutzartikel anstelle des bisherigen Artikels 25bis der Bundesverfassung;Angenommen;35.0%;84.0%;19 6/2
240;02.12.1973;Bundesbeschluss über die Einschränkung der steuerwirksamen Abschreibungen bei den Einkommenssteuern von Bund, Kantonen und Gemeinden;Angenommen;35.0%;68.0%;17 5/2
239;02.12.1973;Bundesbeschluss über Massnahmen zur Stabilisierung des Baumarktes;Angenommen;35.0%;70.4%;17 6/2
238;02.12.1973;Bundesbeschluss über Massnahmen auf dem Gebiete des Kreditwesens;Angenommen;35.0%;65.1%;16 5/2
237;02.12.1973;Bundesbeschluss über Massnahmen zur Ueberwachung der Preise;Angenommen;35.0%;59.8%;17 6/2
236;20.05.1973;Bundesbeschluss über die Aufhebung des Jesuiten- und des Klosterartikels der Bundesverfassung (Art. 51 und 52);Angenommen;40.3%;54.9%;14 5/2
235;04.03.1973;Bundesbeschluss über die Ergänzung der Bundesverfassung betreffend die Förderung der wissenschaftlichen Forschung;Angenommen;27.5%;64.5%;17 4/2
234;04.03.1973;Bundesbeschluss über die Änderung der Bundesverfassung betreffend das Bildungswesen;Abgelehnt;27.5%;52.8%;9 3/2
233;03.12.1972;Bundesbeschluss über die Abkommen zwischen der Schweizerischen Eidgenossenschaft und der Europäischen Wirtschaftsgemeinschaft sowie den Mitgliedstaaten der Europäischen Gemeinschaft für Kohle und Stahl;Angenommen;52.9%;72.5%;19 6/2
232.2;03.12.1972;Gegenentwurf zur Volksinitiative «zur Einführung einer Volkspension»;Angenommen;52.9%;74.0%;19 6/2
232.1;03.12.1972;Volksinitiative «zur Einführung einer Volkspension»;Abgelehnt;52.9%;15.6%;0 0/2
231;24.09.1972;Volksinitiative «für eine vermehrte Rüstungskontrolle und ein Waffenausfuhrverbot»;Abgelehnt;33.1%;49.7%;6 2/2
230;04.06.1972;Bundesbeschluss über den Schutz der Währung;Angenommen;26.7%;87.7%;19 6/2
229;04.06.1972;Bundesbeschluss über Massnahmen zur Stabilisierung des Baumarktes;Angenommen;26.7%;83.3%;19 6/2
228;05.03.1972;Bundesbeschluss betreffend die Ergänzung der Bundesverfassung durch einen Artikel 34septies über die Allgemeinverbindlicherklärung von Mietverträgen und Massnahmen zum Schutze der Mieter;Angenommen;35.7%;85.4%;19 6/2
227.2;05.03.1972;Gegenentwurf zur Volksinitiative «zur Förderung des Wohnungsbaues»;Angenommen;35.7%;58.5%;19 6/2
227.1;05.03.1972;Volksinitiative «zur Förderung des Wohnungsbaues»;Abgelehnt;35.7%;28.9%;0 0/2
226;06.06.1971;Bundesbeschluss über die Weiterführung der Finanzordnung des Bundes;Angenommen;37.8%;72.7%;19 6/2
225;06.06.1971;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24septies betreffend den Schutz des Menschen und seiner natürlichen Umwelt gegen schädliche oder lästige Einwirkungen;Angenommen;37.9%;92.7%;19 6/2
224;07.02.1971;Bundesbeschluss über die Einführung des Frauenstimm- und Wahlrechts in eidgenössischen Angelegenheiten;Angenommen;57.7%;65.7%;14 3/2
223;15.11.1970;Bundesbeschluss über die Änderung der Finanzordnung des Bundes;Abgelehnt;40.9%;55.4%;8 2/2
222;27.09.1970;Volksinitiative «Recht auf Wohnung und Ausbau des Familienschutzes»;Abgelehnt;43.8%;48.9%;7 2/2
221;27.09.1970;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 27quinquies betreffend die Förderung von Turnen und Sport;Angenommen;43.8%;74.6%;19 6/2
220;07.06.1970;Volksinitiative «gegen die Ueberfremdung»;Abgelehnt;74.7%;46.0%;6 2/2
219;01.02.1970;Bundesbeschluss über die inländische Zuckerwirtschaft;Angenommen;43.8%;54.2%;.
218;14.09.1969;Bundesbeschluss über die Ergänzung der Bundesverfassung durch die Artikel 22ter und 22quater (Verfassungsrechtliche Ordnung des Bodenrechts);Angenommen;32.9%;55.9%;17 5/2
217;01.06.1969;Bundesgesetz über die Eidgenössischen Technischen Hochschulen;Abgelehnt;33.9%;34.5%;.
216;19.05.1968;Bundesgesetz über die Tabakbesteuerung;Abgelehnt;36.9%;48.2%;.
215;18.02.1968;Bundesbeschluss über den Erlass einer allgemeinen Steueramnestie;Angenommen;41.8%;61.9%;19 6/2
214;02.07.1967;Volksinitiative «gegen die Bodenspekulation»;Abgelehnt;38.0%;32.7%;1 0/2
213;16.10.1966;Volksinitiative «zur Bekämpfung des Alkoholismus»;Abgelehnt;48.0%;23.4%;.
212;16.10.1966;Bundesbeschluss über die Ergänzung der Bundesverfasssung durch einen Artikel 45bis über die Auslandschweizer;Angenommen;47.9%;68.1%;19 6/2
211;16.05.1965;Bundesgesetz betreffend die Änderung des Beschlusses der Bundesversammlung über Milch, Milchprodukte und Speisefette (Milchbeschluss);Angenommen;37.5%;62.0%;.
210;28.02.1965;Bundesbeschluss über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete der Bauwirtschaft;Angenommen;59.7%;55.5%;16 2/2
209;28.02.1965;Bundesbeschluss über die Bekämpfung der Teuerung durch Massnahmen auf dem Gebiete des Geld- und Kapitalmarktes und des Kreditwesens;Angenommen;59.7%;57.7%;16 5/2
208;06.12.1964;Bundesbeschluss über die Weiterführung befristeter Preiskontrollmassnahmen;Angenommen;39.2%;79.5%;19 6/2
207;24.05.1964;Bundesgesetz über die Berufsbildung;Angenommen;37.0%;68.6%;.
206;02.02.1964;Bundesbeschluss über den Erlass einer allgemeinen Steueramnestie auf den 1. Januar 1965;Abgelehnt;44.3%;42.0%;3 1/2
205;08.12.1963;Bundesbeschluss betreffend die Ergänzung der Bundesverfassung durch einen Artikel 27quater über Stipendien und andere Ausbildungsbeihilfen;Angenommen;41.7%;78.5%;19 6/2
204;08.12.1963;Bundesbeschluss über die Weiterführung der Finanzordnung des Bundes (Verlängerung der Geltungsdauer von Art.41ter BV und Ermässigung der Wehrsteuer);Angenommen;41.8%;77.6%;19 6/2
203;26.05.1963;Volksinitiative «Entscheidungsrecht des Volkes über die Ausrüstung der schweizerischen Armee mit Atomwaffen»;Abgelehnt;48.8%;37.8%;4 1/2
202;04.11.1962;Bundesbeschluss über die Änderung des Artikels 72 der Bundesverfassung (Wahl des Nationalrates);Angenommen;36.3%;63.7%;13 6/2
201;27.05.1962;Bundesgesetz über die Abänderung des Bundesgesetzes betreffend die Taggelder und Reiseentschädigungen des Nationalrates und der Kommission der eidgenössischen Räte;Abgelehnt;38.8%;31.7%;.
200;27.05.1962;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24sexies betreffend den Natur- und Heimatschutz;Angenommen;38.8%;79.1%;19 6/2
199;01.04.1962;Volksinitiative «für ein Verbot der Atomwaffen»;Abgelehnt;55.6%;34.8%;4 0/2
198;03.12.1961;Bundesbeschluss über die schweizerische Uhrenindustrie (Uhrenstatut);Angenommen;45.9%;66.7%;.
197;22.10.1961;Volksinitiative «zur Einführung der Gesetzesinitiative im Bunde»;Abgelehnt;40.1%;29.4%;0 0/2
196;05.03.1961;Bundesbeschluss über die Erhebung eines Zollzuschlages auf Treibstoffen zur Finanzierung der Nationalstrassen;Abgelehnt;63.3%;46.6%;.
195;05.03.1961;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 26bis betreffend Rohrleitungsanlagen zur Beförderung flüssiger oder gasförmiger Brenn- oder Treibstoffe;Angenommen;62.8%;71.4%;19 6/2
194;04.12.1960;Bundesbeschluss betreffend die Änderung des Bundesbeschlusses über zusätzliche wirtschaftliche und finanzielle Massnahmen auf dem Gebiete der Milchwirtschaft;Angenommen;49.8%;56.3%;.
193;29.05.1960;Bundesbeschluss über die Weiterführung befristeter Preiskontrollmassnahmen;Angenommen;39.0%;77.5%;19 6/2
192;24.05.1959;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz;Angenommen;42.9%;62.3%;19 6/2
191;01.02.1959;Bundesbeschluss über die Einführung des Frauenstimm- und -wahlrechts in eidgenössischen Angelegenheiten;Abgelehnt;66.7%;33.1%;3 0/2
190;07.12.1958;Bundesbeschluss betreffend die Genehmigung des zwischen der Schweizerischen Eidgenossenschaft und der Italienischen Republik abgeschlossenen Abkommens über die Nutzbarmachung der Wasserkraft des Spöl;Angenommen;46.4%;75.2%;.
189;07.12.1958;Bundesbeschluss über die Änderung der Bundesverfassung (Kursaalspiele);Angenommen;46.2%;59.9%;18 5/2
188;26.10.1958;Volksinitiative «zur Einführung der 44-Stunden-Woche»;Abgelehnt;61.8%;35.0%;0 1/2
187;06.07.1958;Bundesbeschluss über das Volksbegehren für die Verbesserung des Strassennetzes;Angenommen;42.4%;85.0%;18 6/2
186;06.07.1958;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 27ter betreffend das Filmwesen;Angenommen;42.3%;61.3%;18 5/2
185;11.05.1958;Bundesbeschluss über die verfassungsmässige Neuordnung des Finanzhaushaltes des Bundes;Angenommen;53.2%;54.6%;15 5/2
184;26.01.1958;Volksinitiative «gegen den Missbrauch wirtschaftlicher Macht»;Abgelehnt;51.8%;25.9%;0 0/2
183;24.11.1957;Bundesbeschluss über die befristete Verlängerung der Geltungsdauer der Uebergangsordnung betreffend die Brotgetreideversorgung des Landes;Angenommen;45.5%;62.7%;19 5/2
182;24.11.1957;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 24quinquies betreffend die Atomenergie und den Strahlenschutz;Angenommen;45.5%;77.3%;19 6/2
181;03.03.1957;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 36bis betreffend Rundspruch und Fernsehen;Abgelehnt;52.9%;42.8%;9 3/2
180;03.03.1957;Bundesbeschluss über die Ergänzung der Bundesverfassung durch einen Artikel 22bis über den Zivilschutz;Abgelehnt;53.1%;48.1%;12 4/2
179;30.09.1956;Bundesbeschluss über das Volksbegehren betreffend Ausgabenbeschlüsse der Bundesversammlung;Abgelehnt;43.8%;45.5%;8 2/2
178;30.09.1956;Bundesbeschluss über die Revision der Brotgetreideordnung des Landes;Abgelehnt;44.0%;38.7%;4 3/2
177;13.05.1956;Bundesbeschluss über Massnahmen zur Stärkung der Wirtschaft des Kantons Graubünden durch Gewährung einer Hilfe an die Holzverzuckerungs-AG;Abgelehnt;52.6%;42.5%;.
176;13.05.1956;Volksinitiative «zur Erteilung von Wasserrechtskonzessionen»;Abgelehnt;52.1%;36.9%;2 1/2
175;04.03.1956;Bundesbeschluss über die befristete Weiterführung einer beschränkten Preiskontrolle (Verlängerung der Gültigkeitsdauer des Verfassungszusatzes vom 26. September 1952);Angenommen;49.4%;77.5%;19 6/2
174.2;13.03.1955;Gegenentwurf zur Volksinitiative «zum Schutz der Mieter und Konsumenten» (Weiterführung der Preiskontrolle);Abgelehnt;55.5%;40.7%;7 3/2
